count(common name),Common Milkweed,wild carrot,eastern white pine,Jack in the pulpit,Common Buckthorn,northern whitecedar,American Pokeweed,large white trillium,red maple,Common Bracken,sugar maple,poison ivy,Common Jewelweed,sensitive fern,Chicory,mayapple,Ghost Pipes,Boxelder Maple,northern red oak,dame's rocket,yellow trout lily,purple loosestrife,eastern skunk cabbage,great mullein,garlic mustard
11,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,2
11,2,2,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
20,1,0,3,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1,5,2,1
35,2,0,8,0,0,6,0,0,4,1,0,0,0,0,0,0,1,0,2,2,0,0,8,0,1
40,2,0,6,0,0,7,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,17,1,1
41,1,1,3,0,1,9,0,0,2,0,3,2,0,0,0,3,0,1,0,1,2,0,9,1,2
90,0,2,13,0,0,14,0,5,4,0,1,1,0,2,0,9,0,6,3,1,13,1,10,0,5
397,2,6,27,10,3,20,0,42,13,6,11,3,1,3,0,53,1,28,9,12,74,1,39,7,26
138,0,1,2,16,0,2,0,21,2,1,1,3,0,2,0,19,1,5,1,1,32,0,14,1,13
347,1,2,27,39,5,19,0,67,9,5,3,6,3,9,0,32,1,6,8,7,52,0,14,10,22
296,3,0,9,46,6,10,1,74,4,6,7,14,1,15,0,28,3,8,3,4,23,1,10,2,18
318,6,5,12,31,7,12,0,55,8,10,6,16,2,29,0,38,2,7,2,18,15,0,14,3,20
260,6,5,7,19,3,13,4,38,3,8,6,10,2,13,0,24,0,9,4,55,16,0,8,0,7
268,15,3,8,30,2,20,8,7,12,14,5,12,3,16,1,14,1,13,6,50,1,1,10,8,8
209,26,1,9,21,1,12,6,7,12,19,8,20,0,16,0,6,2,7,5,23,0,1,3,2,2
210,30,2,11,13,5,6,5,1,10,17,10,14,4,16,0,6,1,10,14,14,0,3,7,6,5
133,26,2,4,9,2,4,4,2,4,10,4,11,5,8,1,1,1,7,1,15,0,2,2,5,3
161,49,3,3,5,2,5,4,1,4,18,4,11,5,11,6,1,3,0,4,8,0,2,2,10,0
