"count(common_name)","American_beech","American_pokeweed","boxelder_maple","chicory","common_jewelweed","common_milkweed","eastern_skunk_cabbage","eastern_white_pine","garlic_mustard","Ghost_Pipes","great_mullein","Jack_in_the_pulpit","large_white_trillium","mayapple","northern_red_oak","northern_whitecedar","paper_birch","poison_ivy","purple_loosestrife","red_maple","red_pine","sensitive_fern","staghorn_sumac","sugar_maple","wild_carrot"
28,1,0,0,0,0,0,2,8,0,0,0,0,0,0,0,8,3,0,0,0,2,0,2,1,1
16,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,3,3,0,0,0,3,0,0,1,0
36,4,0,3,1,0,0,1,6,0,1,1,0,0,0,2,6,2,0,0,0,3,0,3,2,1
16,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,1,0,0,2,2,1,1,2,0
26,3,0,1,0,0,2,1,5,0,0,3,0,0,0,2,0,4,0,0,0,1,0,4,0,0
50,3,0,0,0,0,0,0,13,1,0,1,0,0,0,1,6,10,0,3,1,5,0,4,1,1
46,4,0,0,1,0,1,0,13,0,0,1,0,0,0,0,8,10,0,0,1,1,1,3,2,0
57,3,0,1,0,0,4,2,8,0,1,4,0,0,0,6,11,5,0,1,0,4,1,3,2,1
27,4,2,0,0,0,0,1,3,2,0,1,0,0,0,1,4,2,1,1,0,3,0,0,1,1
42,2,1,2,1,0,1,4,6,1,2,2,0,0,0,0,3,2,1,1,1,6,0,1,2,3
66,5,1,0,0,0,0,18,4,4,1,2,1,0,0,2,4,6,0,0,1,11,1,0,4,1
121,26,1,4,0,0,1,29,9,7,0,5,0,0,0,3,10,8,0,1,6,3,1,3,3,1
105,6,0,1,1,0,0,34,12,9,1,4,0,0,0,3,7,6,0,0,6,3,3,5,2,2
117,6,0,2,0,0,0,28,10,12,0,13,0,0,1,2,5,8,1,0,11,2,3,5,6,2
138,6,0,6,0,0,1,37,7,25,1,12,0,4,12,2,6,2,0,0,5,3,2,1,3,3
96,3,0,2,0,0,0,22,5,18,0,4,0,7,14,0,7,0,0,0,4,3,0,5,0,2
279,12,0,9,0,0,1,44,21,44,2,20,1,26,56,4,7,6,3,0,5,3,3,4,4,4
398,4,1,15,2,1,0,46,23,61,0,16,24,79,79,4,7,7,2,1,9,3,2,3,4,5
