"count(common_name)","oo_week","American_pokeweed","boxelder_maple","chicory","common_bracken","common_buckthorn","common_jewelweed","common_milkweed","dame_s_rocket","eastern_skunk_cabbage","eastern_white_pine","garlic_mustard","Ghost_Pipes","great_mullein","Jack_in_the_pulpit","large_white_trillium","mayapple","northern_red_oak","northern_whitecedar","poison_ivy","purple_loosestrife","red_maple","sensitive_fern","sugar_maple","wild_carrot","yellow_trout_lily"
32,0,0,0,0,0,1,0,0,0,4,9,2,0,0,0,0,0,2,8,4,0,0,0,1,1,0
22,1,3,1,0,0,0,0,2,1,1,3,1,0,0,0,0,0,1,4,0,0,0,2,1,2,0
35,2,0,5,1,2,1,0,0,1,1,6,0,1,1,0,0,0,4,6,0,1,2,0,2,1,0
17,3,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,2,2,0,0,4,1,2,0,0
16,4,0,1,0,0,2,0,2,0,1,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
34,5,0,0,0,0,3,0,0,0,0,13,1,0,1,0,0,0,2,7,0,4,1,0,1,1,0
28,6,0,0,1,0,0,0,1,0,0,13,0,0,1,0,0,0,0,8,0,0,1,1,2,0,0
50,7,1,1,0,2,3,0,4,0,2,9,0,1,4,0,0,0,7,11,0,1,0,1,2,1,0
20,8,2,0,0,0,1,0,0,0,1,4,2,0,1,0,0,0,1,4,1,1,0,0,1,1,0
36,9,1,2,1,1,1,0,1,1,4,6,1,2,3,0,0,0,0,4,1,1,1,0,2,3,0
49,10,1,0,0,0,0,0,0,0,21,4,4,1,2,1,0,0,2,4,0,0,2,1,5,1,0
107,11,1,4,0,1,3,0,2,4,34,12,8,0,7,0,0,0,4,11,0,2,7,3,3,1,0
125,12,0,1,1,2,1,0,2,8,40,20,9,2,4,0,0,0,5,13,0,0,10,3,2,2,0
142,13,0,3,0,0,0,0,2,3,43,16,13,0,14,0,0,1,2,12,1,0,13,4,7,2,6
198,14,0,7,0,0,1,0,2,3,46,10,27,1,13,0,4,15,2,15,2,0,7,2,6,4,31
210,15,0,8,0,1,0,0,0,2,32,18,23,0,4,0,10,23,3,21,1,1,8,2,1,4,48
723,16,0,37,0,6,4,1,3,14,82,48,70,3,27,11,68,109,13,27,6,1,18,6,15,10,144
655,17,1,20,2,2,2,1,0,11,60,25,74,1,17,40,99,98,5,9,5,1,11,4,5,6,156
784,18,0,30,1,5,6,3,1,10,47,39,90,4,19,97,161,94,11,28,9,0,16,18,6,2,87
814,19,2,29,0,8,13,1,3,15,48,21,96,6,11,108,173,107,7,25,25,1,13,22,20,2,58
804,20,5,33,2,15,19,10,6,45,27,36,70,2,10,85,150,85,7,23,39,1,13,38,19,16,48
768,21,13,29,2,29,18,9,21,165,21,24,25,0,9,71,76,68,8,25,50,1,16,34,20,11,23
609,22,19,34,1,29,15,5,33,108,18,21,22,1,18,54,17,24,11,50,46,2,16,41,13,10,1
432,23,24,23,2,33,7,2,47,48,5,16,6,3,9,42,13,18,8,20,37,2,17,33,11,5,1
406,24,13,15,4,30,11,6,59,26,10,23,7,2,17,20,4,10,21,20,30,4,20,33,17,4,0
444,25,16,16,15,30,10,9,106,29,4,14,8,2,26,25,3,6,12,21,29,2,8,26,14,13,0
445,26,19,14,24,25,6,8,116,21,3,10,1,4,41,13,2,6,9,18,27,12,10,21,11,24,0
533,27,36,13,41,26,11,14,83,7,7,17,7,17,43,12,4,11,18,15,31,18,13,31,13,45,0
635,28,32,12,68,26,10,28,72,4,3,16,3,42,48,14,4,8,20,23,19,34,10,24,23,92,0
726,29,26,8,56,27,11,30,92,7,3,20,1,80,47,18,3,10,13,19,23,60,11,35,13,113,0
750,30,58,17,61,25,14,40,58,1,11,24,4,61,34,23,5,10,14,30,27,69,12,30,26,96,0
671,31,49,14,56,23,18,66,34,8,2,18,2,70,28,9,4,5,15,17,39,64,21,22,17,70,0
1032,32,60,43,53,36,105,79,64,4,9,26,4,179,13,19,0,7,14,30,29,87,12,38,26,95,0
