"id","observed_on_string","observed_on","time_observed_at","time_zone","user_id","user_login","created_at","updated_at","quality_grade","license","url","image_url","sound_url","tag_list","description","num_identification_agreements","num_identification_disagreements","captive_cultivated","oauth_application_id","place_guess","latitude","longitude","positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id"
19352659,"Tue Jan 01 2019 09:13:56 GMT-0500 (EST)","2019-01-01","2019-01-01 14:13:56 UTC","Eastern Time (US & Canada)",1134402,"isro_vergara","2019-01-01 14:14:58 UTC","2020-05-22 02:49:08 UTC","research","","https://www.inaturalist.org/observations/19352659","https://static.inaturalist.org/photos/29758996/medium.jpg?1546352118","","","",1,0,"false",3,"8100 Geddes Rd, Ypsilanti, MI, US",42.2755133333,-83.6016,24,"","","false","","","carda de cardar","Dipsacus fullonum","wild teasel","Plantae",56002
19356017,"Tue Jan 01 2019 13:07:03 GMT-0500 (EST)","2019-01-01","2019-01-01 18:07:03 UTC","Eastern Time (US & Canada)",1065779,"adamxxp","2019-01-01 18:07:24 UTC","2019-01-20 20:27:20 UTC","needs_id","","https://www.inaturalist.org/observations/19356017","https://static.inaturalist.org/photos/29764604/medium.jpg?1546366056","","","",1,0,"false",3,"Mill Pond Park, Mount Pleasant, MI, US",43.5995802554,-84.7888584459,16,"","","false","","","bulrushes and cattails","Typha","bulrushes and cattails","Plantae",48686
19356109,"Tue Jan 01 2019 13:12:33 GMT-0500 (EST)","2019-01-01","2019-01-01 18:12:33 UTC","Eastern Time (US & Canada)",1065779,"adamxxp","2019-01-01 18:12:59 UTC","2019-01-02 20:57:51 UTC","research","","https://www.inaturalist.org/observations/19356109","https://static.inaturalist.org/photos/29764748/medium.jpg?1546366383","","","",1,0,"false",3,"Mount Pleasant, Mount Pleasant, MI, US",43.5985536229,-84.7862553668,16,"","","false","","","common motherwort","Leonurus cardiaca","common motherwort","Plantae",56171
19356478,"Tue Jan 01 2019 13:07:05 GMT-0500 (EST)","2019-01-01","2019-01-01 18:07:05 UTC","Eastern Time (US & Canada)",1390120,"raybecks","2019-01-01 18:37:26 UTC","2019-01-20 20:27:09 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/19356478","https://static.inaturalist.org/photos/29765508/medium.jpg?1546367851","","","",1,0,"false",3,"Mill Pond Park, Mount Pleasant, MI, US",43.5995366667,-84.7889116667,5,"","","false","","","bulrushes and cattails","Typha","bulrushes and cattails","Plantae",48686
19357034,"Tue Jan 01 2019 14:05:29 GMT-0500 (EST)","2019-01-01","2019-01-01 19:05:29 UTC","Eastern Time (US & Canada)",1038861,"lamson","2019-01-01 19:06:07 UTC","2019-01-19 06:55:23 UTC","needs_id","","https://www.inaturalist.org/observations/19357034","https://static.inaturalist.org/photos/29766636/medium.jpg?1546369574","","","",0,0,"false",3,"Genesee Recreation Area, Mount Morris, MI, US",43.0981431948,-83.6433581729,5,"","","false","","","","Carya","hickories","Plantae",54788
19377485,"Wed Jan 02 2019 11:33:21 GMT-0500 (EST)","2019-01-02","2019-01-02 16:33:21 UTC","Eastern Time (US & Canada)",1403999,"hilda4000","2019-01-02 16:34:18 UTC","2019-02-17 15:14:20 UTC","casual","","https://www.inaturalist.org/observations/19377485","https://static.inaturalist.org/photos/29801223/medium.jpg?1546446869","","","",2,0,"true",3,"2301 W Big Beaver Rd, Troy, MI, US",42.5611584889,-83.1785201627,65,"","","false","","","Poinsettia","Euphorbia pulcherrima","Poinsettia","Plantae",162845
19385220,"Wed Jan 02 2019 16:27:33 GMT-0500 (EST)","2019-01-02","2019-01-02 21:27:33 UTC","Eastern Time (US & Canada)",372233,"pkm","2019-01-02 23:24:07 UTC","2019-01-02 23:24:19 UTC","needs_id","","https://www.inaturalist.org/observations/19385220","https://static.inaturalist.org/photos/29813621/medium.jpg?1546471455","","","",0,0,"false",3,"Sleeping Bear Dunes National Lakeshore, Honor, MI, US",44.745075,-86.0551,5,"","","false","","","","Nasturtium officinale","watercress","Plantae",78174
19401865,"Thu Jan 03 2019 12:57:29 GMT-0500 (EST)","2019-01-03","2019-01-03 17:57:29 UTC","Eastern Time (US & Canada)",913444,"rachelad","2019-01-03 18:01:08 UTC","2019-01-03 18:01:32 UTC","casual","","https://www.inaturalist.org/observations/19401865","https://static.inaturalist.org/photos/29841089/medium.jpg?1546538480","","","2nd floor potted tree at UofM Dearborn HPEC building.",0,0,"true",3,"University of Michigan - Dearborn, Dearborn, MI, US",42.3208699759,-83.2338260215,103,"","","false","","","","Hibiscus rosa-sinensis","Chinese hibiscus","Plantae",62876
19404928,"Thu Jan 03 2019 15:51:08 GMT-0500 (EST)","2019-01-03","2019-01-03 20:51:08 UTC","Eastern Time (US & Canada)",1178209,"zreed","2019-01-03 21:01:04 UTC","2019-01-04 17:20:26 UTC","casual","","https://www.inaturalist.org/observations/19404928","https://static.inaturalist.org/photos/29846247/medium.jpg?1546549273","","","Dewy in the morning & fragrant.",2,0,"true",3,"Michigan, US",42.8711279773,-83.6091199133,65,"obscured","","true","","","Wax plants","Hoya","Wax plants","Plantae",129527
19424792,"Fri Jan 04 2019 13:15:12 GMT-0500 (EST)","2019-01-04","2019-01-04 18:15:12 UTC","Eastern Time (US & Canada)",399148,"k_drotos","2019-01-04 21:04:23 UTC","2019-02-09 23:41:45 UTC","research","","https://www.inaturalist.org/observations/19424792","https://static.inaturalist.org/photos/29881276/medium.jpg?1546635891","","","",2,0,"false",3,"1100 Lake Shore Rd, Saint Clair Shores, MI, US",42.4563866667,-82.875,10,"","open","false","","","American hazelnut","Corylus americana","American hazelnut","Plantae",54770
19425068,"Fri Jan 04 2019 16:11:56 GMT-0500 (EST)","2019-01-04","2019-01-04 21:11:56 UTC","Eastern Time (US & Canada)",1275559,"milgroma","2019-01-04 21:12:35 UTC","2019-04-16 01:12:47 UTC","needs_id","","https://www.inaturalist.org/observations/19425068","https://static.inaturalist.org/photos/29881545/medium.jpg?1546636358","","","",1,0,"false",3,"I-75 N, Troy, MI, US",42.6028719606,-83.1641532544,6,"","","false","","","goldenrods","Solidago","goldenrods","Plantae",48678
19427231,"Fri Jan 04 2019 12:08:16 GMT-0500 (EST)","2019-01-04","2019-01-04 17:08:16 UTC","Eastern Time (US & Canada)",558416,"mcaple","2019-01-04 22:55:16 UTC","2019-01-05 20:04:08 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/19427231","https://static.inaturalist.org/photos/29885467/medium.jpg?1546642524","","","",1,0,"false",3,"49007, Kalamazoo, MI, US",42.3638116667,-85.5784916667,5,"","","false","","","eastern skunk cabbage","Symplocarpus foetidus","eastern skunk cabbage","Plantae",48961
19427270,"Fri Jan 04 2019 16:24:57 GMT-0500 (EST)","2019-01-04","2019-01-04 21:24:57 UTC","Eastern Time (US & Canada)",805798,"rayquazasaur","2019-01-04 22:56:16 UTC","2020-01-04 22:25:02 UTC","research","","https://www.inaturalist.org/observations/19427270","https://static.inaturalist.org/photos/29885546/medium.jpg?1546642624","","","",1,0,"false",3,"Wayne State University, Detroit, MI, US",42.3549166667,-83.0705111667,10,"","","false","","","Grey Field-speedwell","Veronica polita","Grey Field-speedwell","Plantae",68848
