"common_name","num_observed","observed_on"
"balsam fir",1,"2019-01-01"
"common motherwort",1,"2019-01-01"
"eastern white pine",1,"2019-01-01"
"marsh marigold",1,"2019-01-01"
"wild teasel",1,"2019-01-01"
"yellow birch",1,"2019-01-01"
"Poinsettia",1,"2019-01-02"
"watercress",1,"2019-01-02"
"Chinese hibiscus",1,"2019-01-03"
"pincushion moss",1,"2019-01-03"
"American hazelnut",1,"2019-01-04"
"American hog-peanut",1,"2019-01-04"
"Amur honeysuckle",1,"2019-01-04"
"black locust",1,"2019-01-04"
"butterfly milkweed",1,"2019-01-04"
"eastern redcedar",1,"2019-01-04"
"eastern skunk cabbage",1,"2019-01-04"
"garlic mustard",1,"2019-01-04"
"Grey Field-speedwell",1,"2019-01-04"
"multiflora rose",2,"2019-01-04"
"northern red oak",1,"2019-01-04"
"northern spicebush",1,"2019-01-04"
"paper birch",1,"2019-01-04"
"poison ivy",1,"2019-01-04"
"white spruce",1,"2019-01-04"
"wild garlic",1,"2019-01-04"
"black locust",1,"2019-01-05"
"Cypress-leaved Plait-moss",1,"2019-01-05"
"eastern hemlock",1,"2019-01-05"
"eastern redcedar",1,"2019-01-05"
"garden sage",1,"2019-01-05"
"poison ivy",1,"2019-01-05"
"Wavy Starburst Moss",1,"2019-01-05"
"European reed",1,"2019-01-06"
"Flaming Katy",1,"2019-01-06"
"guelder-rose",1,"2019-01-06"
"Oriental bittersweet",1,"2019-01-06"
"staghorn sumac",1,"2019-01-06"
"eastern black walnut",1,"2019-01-07"
"eastern hemlock",1,"2019-01-08"
"Frost Aster",1,"2019-01-08"
"sandbar willow",1,"2019-01-08"
"sensitive fern",1,"2019-01-08"
"switchgrass",1,"2019-01-08"
"thimbleberry",1,"2019-01-08"
"American pokeweed",1,"2019-01-12"
"balsam fir",1,"2019-01-12"
"black spruce",1,"2019-01-12"
"bog myrtle",1,"2019-01-12"
"Canada goldenrod",2,"2019-01-12"
"Carolina horsenettle",1,"2019-01-12"
"common juniper",1,"2019-01-12"
"common milkweed",1,"2019-01-12"
"eastern white pine",1,"2019-01-12"
"Flat-leaved Scalewort",1,"2019-01-12"
"Flattened Meadow-grass",1,"2019-01-12"
"jimsonweed",1,"2019-01-12"
"Krauss's clubmoss",1,"2019-01-12"
"leatherleaf",1,"2019-01-12"
"marginal wood fern",1,"2019-01-12"
"northern red oak",1,"2019-01-12"
"northern whitecedar",1,"2019-01-12"
"Poverty oatgrass",1,"2019-01-12"
"rock polypody",1,"2019-01-12"
"Tree Fringewort",1,"2019-01-12"
"wavy hair-grass",1,"2019-01-12"
"white meadowsweet",1,"2019-01-12"
"wild carrot",1,"2019-01-12"
"winterberry holly",1,"2019-01-12"
"common hoptree",1,"2019-01-13"
"common ninebark",1,"2019-01-13"
"Common Privet",1,"2019-01-13"
"honey locust",1,"2019-01-13"
"Wall Screw-moss",1,"2019-01-13"
"bluestem goldenrod",1,"2019-01-14"
"Canada goldenrod",1,"2019-01-14"
"Japanese barberry",1,"2019-01-14"
"Oriental bittersweet",1,"2019-01-14"
"purple loosestrife",1,"2019-01-14"
"red osier dogwood",1,"2019-01-14"
"Scots pine",1,"2019-01-14"
"swamp milkweed",1,"2019-01-14"
"boxelder maple",1,"2019-01-15"
"bur oak",1,"2019-01-15"
"California black oak",1,"2019-01-15"
"coast live oak",2,"2019-01-15"
"common bracken",1,"2019-01-15"
"northern maidenhair fern",1,"2019-01-15"
"northern oak fern",1,"2019-01-15"
"northern red oak",1,"2019-01-15"
"Norway maple",1,"2019-01-15"
"pin oak",1,"2019-01-15"
"red maple",1,"2019-01-15"
"silver maple",1,"2019-01-15"
"valley oak",1,"2019-01-15"
"white oak",1,"2019-01-15"
"American sweetgum",1,"2019-01-16"
"red-berried elder",1,"2019-01-16"
"winged euonymus",1,"2019-01-16"
"Amur honeysuckle",1,"2019-01-18"
"balsam poplar",1,"2019-01-18"
"broadleaf cattail",1,"2019-01-18"
"Crape-myrtle",1,"2019-01-18"
"Jack pine",1,"2019-01-18"
"narrow-leaved cattail",1,"2019-01-18"
"common waterweed",1,"2019-01-19"
"lake quillwort",1,"2019-01-19"
"robbins' pondweed",1,"2019-01-19"
"black huckleberry",1,"2019-01-20"
"Eastern Teaberry",1,"2019-01-20"
"basswood",2,"2019-01-22"
