"count(common_name)","American_pokeweed","boxelder_maple","chicory","common_bracken","common_buckthorn","common_jewelweed","common_milkweed","dame_s_rocket","eastern_skunk_cabbage","eastern_white_pine","garlic_mustard","Ghost_Pipes","great_mullein","Jack_in_the_pulpit","large_white_trillium","mayapple","northern_red_oak","northern_whitecedar","poison_ivy","purple_loosestrife","red_maple","sensitive_fern","sugar_maple","wild_carrot","yellow_trout_lily"
11,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0
11,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0
9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
20,0,0,0,1,1,0,1,0,5,3,1,0,2,0,0,0,1,1,0,1,1,2,0,0,0
35,0,0,0,1,0,0,2,2,8,8,1,1,0,0,0,0,2,6,0,0,4,0,0,0,0
40,0,1,0,0,0,0,2,0,17,6,1,0,1,0,0,0,0,7,0,0,2,1,1,0,1
41,0,1,0,0,1,0,1,1,9,3,2,0,1,0,0,3,0,9,2,0,2,0,3,1,2
90,0,6,0,0,0,0,0,1,10,13,5,0,0,0,5,9,3,14,1,1,4,2,1,2,13
397,0,28,0,6,3,1,2,12,39,27,26,1,7,10,42,53,9,20,3,1,13,3,11,6,74
138,0,5,0,1,0,0,0,1,14,2,13,1,1,16,21,19,1,2,3,0,2,2,1,1,32
347,0,6,0,5,5,3,1,7,14,27,22,1,10,39,67,32,8,19,6,0,9,9,3,2,52
296,1,8,0,6,6,1,3,4,10,9,18,3,2,46,74,28,3,10,14,1,4,15,7,0,23
318,0,7,0,10,7,2,6,18,14,12,20,2,3,31,55,38,2,12,16,0,8,29,6,5,15
260,4,9,0,8,3,2,6,55,8,7,7,0,0,19,38,24,4,13,10,0,3,13,6,5,16
268,8,13,1,14,2,3,15,50,10,8,8,1,8,30,7,14,6,20,12,1,12,16,5,3,1
209,6,7,0,19,1,0,26,23,3,9,2,2,2,21,7,6,5,12,20,1,12,16,8,1,0
210,5,10,0,17,5,4,30,14,7,11,5,1,6,13,1,6,14,6,14,3,10,16,10,2,0
133,4,7,1,10,2,5,26,15,2,4,3,1,5,9,2,1,1,4,11,2,4,8,4,2,0
161,4,0,6,18,2,5,49,8,2,3,0,3,10,5,1,1,4,5,11,2,4,11,4,3,0
222,14,2,15,12,4,8,35,4,2,8,3,9,18,9,2,5,10,5,17,5,5,8,7,15,0
194,7,3,30,5,2,8,21,1,0,1,2,15,14,6,0,3,4,2,8,8,5,5,3,41,0
290,7,4,21,15,6,11,50,3,1,9,0,32,12,8,2,4,4,6,8,25,4,13,2,43,0
291,15,4,23,11,4,20,25,0,7,12,2,26,11,9,4,2,8,16,4,24,6,10,11,37,0
252,19,6,24,12,3,23,13,4,1,9,1,20,10,4,3,0,9,7,9,26,6,8,8,27,0
527,38,28,29,16,96,34,43,2,9,13,3,18,2,10,0,6,6,12,15,45,5,22,14,61,0
438,20,12,17,58,43,35,23,1,2,29,1,30,5,5,0,0,21,17,14,25,26,12,4,38,0
318,21,16,18,14,49,37,11,0,2,2,1,18,5,15,0,2,3,24,17,15,8,4,7,29,0
267,23,4,18,12,18,34,18,1,2,8,1,15,9,14,0,2,9,9,10,12,9,11,9,19,0
251,24,12,22,9,26,23,18,0,0,6,0,25,4,23,0,1,7,3,10,8,3,9,8,10,0
210,29,14,14,3,12,14,16,2,1,7,3,9,7,9,0,1,6,10,9,6,12,1,11,14,0
131,17,11,7,4,12,4,8,0,0,6,3,5,3,4,1,0,5,3,9,0,13,3,3,10,0
115,5,0,4,7,6,0,8,0,0,22,0,4,7,4,0,0,7,23,3,0,5,3,7,0,0
261,26,4,10,10,4,1,18,1,2,21,1,3,9,8,0,0,7,11,5,2,51,10,48,9,0
145,15,4,4,7,7,0,17,1,2,11,1,1,9,0,0,0,11,11,9,1,15,2,15,2,0
225,10,1,5,4,4,1,17,1,1,32,0,1,2,0,0,0,29,7,9,2,31,2,63,3,0
61,4,3,1,0,5,0,4,0,2,4,0,0,2,0,0,0,6,1,1,1,10,1,13,3,0
30,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,1,0,4,3,2,5,4,0
12,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,3,0,0,0,1,0,2,0,0
9,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
20,1,0,0,0,2,0,1,0,0,5,1,0,1,1,0,0,4,1,2,0,0,0,0,1,0
7,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
7,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
14,0,1,0,0,1,0,0,0,2,2,0,1,1,0,0,0,1,2,0,0,0,0,2,1,0
6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
